Name,Age,#days,Lev,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,mlbID
CJ Abrams,22,0,Maj-NL,Washington,97,377,347,53,89,18,4,10,41,17,0,78,9,3,1,5,24,2,0.257,0.308,0.418,0.725,682928
Jos\xc3\xa9 Abreu,36,0,Maj-AL,Houston,102,429,392,40,96,16,0,10,56,29,1,95,3,0,5,12,0,1,0.245,0.298,0.362,0.661,547989
Ronald Acuna Jr.,25,0,Maj-NL,Atlanta,103,473,412,93,138,26,1,24,61,54,2,56,5,0,2,9,50,8,0.335,0.417,0.578,0.994,660670
Willy Adames,27,0,Maj-NL,Milwaukee,96,413,361,44,73,16,0,17,48,41,0,109,4,0,5,9,4,3,0.202,0.287,0.388,0.675,642715
Riley Adams,27,1,Maj-NL,Washington,26,100,92,7,28,8,2,4,15,6,0,27,1,1,0,4,0,0,0.304,0.354,0.565,0.919,656180
Jo Adell,24,22,Maj-AL,Los Angeles,5,14,13,2,3,1,1,1,3,1,0,6,0,0,0,0,0,0,0.231,0.286,0.692,0.978,666176
Ehire Adrianza,33,90,Maj-NL,Atlanta,5,11,10,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0.0,0.091,0.0,0.091,501303
Jes\xc3\xbas Aguilar,33,64,Maj-AL,Oakland,36,115,104,8,23,2,0,5,9,8,2,31,1,0,1,3,0,0,0.221,0.281,0.385,0.665,542583
Nick Ahmed,33,5,Maj-NL,Arizona,52,153,145,13,33,9,0,2,14,8,0,37,0,0,0,0,5,1,0.228,0.268,0.331,0.599,605113
Hanser Alberto,30,60,Maj-AL,Chicago,30,90,82,11,18,5,0,3,16,4,0,13,1,2,1,1,0,0,0.22,0.261,0.39,0.652,593643
Ozzie Albies,26,0,Maj-NL,Atlanta,103,442,396,63,102,18,3,24,74,31,2,70,7,0,6,6,7,0,0.258,0.318,0.5,0.818,645277
Jorge Alfaro,30,0,"Maj-AL,Maj-NL","Boston,Colorado",17,52,48,2,7,4,0,1,4,2,0,15,2,0,0,3,0,0,0.146,0.212,0.292,0.503,595751
Greg Allen,30,0,Maj-AL,New York,14,22,18,5,3,0,1,1,1,2,0,8,1,1,0,0,1,1,0.167,0.286,0.444,0.73,656185
Nick Allen,24,0,Maj-AL,Oakland,57,169,154,14,28,1,1,1,7,10,0,31,0,4,1,4,1,1,0.182,0.23,0.221,0.451,669397
Pete Alonso,28,0,Maj-NL,New York,97,411,358,59,78,9,2,30,75,38,0,85,13,0,2,11,3,0,0.218,0.314,0.506,0.82,624413
Jose Altuve,33,0,Maj-AL,Houston,36,159,137,28,38,8,1,7,20,20,0,30,1,0,1,4,5,1,0.277,0.371,0.504,0.875,514888
Jake Alu,26,15,Maj-NL,Washington,5,15,14,0,3,0,0,0,0,1,0,4,0,0,0,0,1,0,0.214,0.267,0.214,0.481,666906
Francisco Alvarez,21,1,Maj-NL,New York,78,272,250,37,58,7,0,20,42,18,0,70,4,0,0,9,0,0,0.232,0.294,0.5,0.794,682626
Yordan Alvarez,26,0,Maj-AL,Houston,61,259,217,45,62,13,0,18,56,33,2,58,7,0,2,5,0,0,0.286,0.394,0.595,0.988,670541
Jacob Amaya,24,35,Maj-NL,Miami,4,9,9,1,2,0,0,0,2,0,0,1,0,0,0,0,1,0,0.222,0.222,0.222,0.444,676070
Miguel Amaya,24,0,Maj-NL,Chicago,31,101,83,11,21,4,0,2,13,6,0,26,10,1,1,2,0,0,0.253,0.37,0.374,0.744,665804
Brian Anderson,30,21,Maj-NL,Milwaukee,85,334,292,35,67,11,2,9,38,35,0,99,4,0,3,9,0,3,0.23,0.317,0.373,0.691,605119
Tim Anderson,30,0,Maj-AL,Chicago,82,357,335,37,82,11,1,1,19,19,0,73,1,0,2,13,10,1,0.245,0.286,0.293,0.578,641313
