last_name,first_name,player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff
Semien, Marcus,543760,2023,495,380,0.274,0.262,0.012,0.447,0.417,0.03,0.341,0.329,0.012
Kwan, Steven,680757,2023,478,377,0.278,0.286,-0.0079999999999999,0.388,0.36,0.028,0.325,0.322,0.003
Freeman, Freddie,518692,2023,477,335,0.329,0.323,0.006,0.575,0.582,-0.007,0.414,0.417,-0.003
Lowe, Nathaniel,663993,2023,476,311,0.287,0.27,0.0169999999999999,0.453,0.412,0.041,0.364,0.345,0.019
Acuña Jr., Ronald,660670,2023,473,358,0.335,0.35,-0.0149999999999999,0.578,0.64,-0.062,0.423,0.455,-0.032
Bichette, Bo,666182,2023,469,361,0.318,0.321,-0.003,0.492,0.512,-0.02,0.362,0.373,-0.011
Schwarber, Kyle,656941,2023,468,250,0.183,0.22,-0.037,0.432,0.455,-0.023,0.325,0.35,-0.0249999999999999
Ohtani, Shohei,660271,2023,467,285,0.302,0.299,0.003,0.68,0.658,0.022,0.441,0.437,0.004
Nimmo, Brandon,607043,2023,466,299,0.256,0.258,-0.002,0.431,0.445,-0.014,0.343,0.353,-0.0099999999999999
Rodríguez, Julio,677594,2023,466,306,0.251,0.268,-0.017,0.425,0.444,-0.019,0.321,0.338,-0.017
Bregman, Alex,608324,2023,465,350,0.254,0.256,-0.002,0.431,0.426,0.005,0.34,0.341,-0.001
Soto, Juan,665742,2023,464,273,0.268,0.265,0.003,0.503,0.503,0.0,0.395,0.399,-0.004
Goldschmidt, Paul,502671,2023,463,306,0.28,0.281,-0.001,0.467,0.518,-0.0509999999999999,0.361,0.382,-0.021
Turner, Trea,607208,2023,462,319,0.242,0.253,-0.011,0.379,0.391,-0.012,0.293,0.304,-0.011
Olson, Matt,621566,2023,460,273,0.259,0.256,0.003,0.584,0.564,0.02,0.396,0.391,0.005
Betts, Mookie,605141,2023,460,318,0.277,0.283,-0.0059999999999999,0.56,0.556,0.004,0.397,0.402,-0.005
Ramírez, José,608070,2023,457,365,0.292,0.29,0.002,0.51,0.479,0.031,0.362,0.358,0.004
Witt Jr., Bobby,677951,2023,456,340,0.263,0.289,-0.0259999999999999,0.465,0.526,-0.061,0.326,0.365,-0.0389999999999999
Riley, Austin,663586,2023,454,309,0.275,0.281,-0.006,0.5,0.518,-0.018,0.354,0.37,-0.016
