last_name,first_name,player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff,era,xera,era_minus_xera_diff
Alcantara, Sandy,645261,2023,564,409,0.254,0.267,-0.013,0.388,0.408,-0.0199999999999999,0.303,0.321,-0.018,4.46,4.31,0.146
Keller, Mitch,656605,2023,564,372,0.238,0.238,0.0,0.392,0.384,0.008,0.302,0.304,-0.002,3.97,3.83,0.143
Webb, Logan,657277,2023,563,395,0.248,0.242,0.006,0.394,0.4,-0.006,0.294,0.296,-0.002,3.49,3.62,-0.126
Nola, Aaron,605400,2023,562,389,0.231,0.238,-0.0069999999999999,0.423,0.412,0.011,0.3,0.302,-0.002,4.43,3.78,0.655
Corbin, Patrick,571578,2023,561,435,0.304,0.315,-0.011,0.471,0.517,-0.046,0.354,0.379,-0.025,5.07,6.33,-1.259
Mikolas, Miles,571945,2023,546,426,0.278,0.287,-0.0089999999999999,0.414,0.464,-0.05,0.317,0.342,-0.025,4.38,4.97,-0.588
Gallen, Zac,668678,2023,546,374,0.231,0.247,-0.0159999999999999,0.373,0.412,-0.0389999999999999,0.279,0.305,-0.0259999999999999,3.36,3.86,-0.501
Cole, Gerrit,543037,2023,546,354,0.214,0.231,-0.017,0.336,0.377,-0.0409999999999999,0.27,0.294,-0.0239999999999999,2.64,3.57,-0.929
Gibson, Kyle,502043,2023,539,391,0.264,0.264,0.0,0.401,0.425,-0.0239999999999999,0.315,0.33,-0.015,4.68,4.59,0.087
Berríos, José,621244,2023,538,367,0.239,0.256,-0.017,0.377,0.43,-0.0529999999999999,0.299,0.328,-0.029,3.31,4.53,-1.215
Bassitt, Chris,605135,2023,536,366,0.237,0.25,-0.013,0.406,0.42,-0.0139999999999999,0.312,0.326,-0.014,3.91,4.46,-0.552
Lynn, Lance,458681,2023,535,339,0.27,0.25,0.02,0.497,0.457,0.0399999999999999,0.358,0.338,0.0199999999999999,6.47,4.84,1.628
López, Pablo,641154,2023,530,327,0.23,0.216,0.014,0.389,0.362,0.027,0.294,0.282,0.012,4.13,3.27,0.857
Hill, Rich,448179,2023,530,373,0.272,0.281,-0.009,0.458,0.479,-0.0209999999999999,0.346,0.36,-0.014,4.76,5.6,-0.835
Giolito, Lucas,608337,2023,530,345,0.234,0.243,-0.0089999999999999,0.437,0.44,-0.003,0.319,0.327,-0.008,3.85,4.49,-0.643
Castillo, Luis,622491,2023,526,340,0.206,0.226,-0.02,0.377,0.41,-0.0329999999999999,0.276,0.3,-0.0239999999999999,2.88,3.72,-0.842
Stroman, Marcus,573186,2023,520,360,0.22,0.254,-0.034,0.316,0.365,-0.0489999999999999,0.276,0.309,-0.0329999999999999,3.51,3.97,-0.461
Wheeler, Zack,554430,2023,519,343,0.238,0.232,0.0059999999999999,0.366,0.342,0.0239999999999999,0.282,0.278,0.0039999999999999,3.74,3.17,0.574
Cease, Dylan,656302,2023,519,321,0.241,0.242,-0.001,0.393,0.384,0.009,0.312,0.313,-0.001,4.15,4.08,0.068
Gausman, Kevin,592332,2023,518,312,0.232,0.232,0.0,0.379,0.406,-0.027,0.288,0.3,-0.012,3.1,3.72,-0.618
Oviedo, Johan,670912,2023,516,352,0.241,0.25,-0.009,0.404,0.415,-0.0109999999999999,0.317,0.33,-0.013,4.6,4.59,0.012
Valdez, Framber,664285,2023,516,343,0.238,0.249,-0.011,0.362,0.397,-0.035,0.287,0.313,-0.026,3.29,4.08,-0.794
Burnes, Corbin,669203,2023,515,334,0.195,0.219,-0.0239999999999999,0.312,0.335,-0.023,0.262,0.283,-0.0209999999999999,3.46,3.29,0.173
Luzardo, Jesús,666200,2023,514,327,0.239,0.228,0.0109999999999999,0.4,0.393,0.007,0.303,0.298,0.005,3.38,3.67,-0.286
Gray, Josiah,680686,2023,513,350,0.252,0.246,0.006,0.403,0.404,-0.001,0.326,0.327,-0.001,3.27,4.49,-1.22
Kremer, Dean,665152,2023,510,359,0.267,0.278,-0.011,0.458,0.494,-0.0359999999999999,0.337,0.357,-0.0199999999999999,4.66,5.49,-0.827
Montgomery, Jordan,656756,2023,509,362,0.25,0.256,-0.006,0.414,0.42,-0.006,0.311,0.32,-0.009,3.42,4.28,-0.859
Gilbert, Logan,669302,2023,503,359,0.234,0.244,-0.0099999999999999,0.39,0.405,-0.015,0.283,0.296,-0.013,3.83,3.62,0.206
Singer, Brady,663903,2023,503,358,0.284,0.278,0.0059999999999999,0.466,0.448,0.018,0.348,0.345,0.003,5.46,5.07,0.393
Strider, Spencer,675911,2023,502,261,0.213,0.203,0.0099999999999999,0.378,0.355,0.023,0.287,0.275,0.0119999999999999,3.73,3.1,0.632
Snell, Blake,605483,2023,501,274,0.198,0.212,-0.0139999999999999,0.312,0.351,-0.0389999999999999,0.284,0.305,-0.021,2.5,3.86,-1.364
Ryan, Joe,657746,2023,500,324,0.233,0.216,0.017,0.411,0.369,0.0419999999999999,0.294,0.274,0.0199999999999999,4.06,3.08,0.977
Elder, Bryce,693821,2023,499,367,0.239,0.253,-0.014,0.372,0.386,-0.014,0.297,0.311,-0.014,3.18,4.02,-0.839
Kirby, George,669923,2023,495,368,0.254,0.261,-0.007,0.409,0.426,-0.017,0.294,0.306,-0.012,3.49,3.89,-0.397
Morton, Charlie,450203,2023,494,316,0.255,0.256,-0.001,0.387,0.412,-0.0249999999999999,0.321,0.333,-0.012,3.57,4.68,-1.106
Gray, Sonny,543243,2023,493,332,0.236,0.251,-0.015,0.327,0.378,-0.0509999999999999,0.284,0.311,-0.027,3.22,4.02,-0.798
Bieber, Shane,669456,2023,489,356,0.253,0.284,-0.0309999999999999,0.409,0.447,-0.038,0.31,0.34,-0.03,3.77,4.91,-1.141
Ohtani, Shohei,660271,2023,488,270,0.185,0.206,-0.0209999999999999,0.345,0.375,-0.03,0.284,0.304,-0.02,3.43,3.83,-0.399
Flaherty, Jack,656427,2023,485,316,0.278,0.257,0.021,0.427,0.389,0.0379999999999999,0.349,0.333,0.0159999999999999,4.43,4.68,-0.248
Williams, Trevor,592866,2023,482,364,0.287,0.276,0.0109999999999999,0.505,0.475,0.03,0.36,0.349,0.011,4.72,5.21,-0.489
Nelson, Ryne,669194,2023,481,372,0.285,0.267,0.0179999999999999,0.505,0.469,0.036,0.355,0.344,0.011,4.97,5.04,-0.073
Lyles, Jordan,543475,2023,479,362,0.253,0.262,-0.009,0.476,0.482,-0.006,0.334,0.344,-0.0099999999999999,6.15,5.04,1.111
Eovaldi, Nathan,543135,2023,479,330,0.208,0.228,-0.02,0.34,0.37,-0.0299999999999999,0.268,0.291,-0.0229999999999999,2.69,3.49,-0.797
Pérez, Martín,527048,2023,478,367,0.288,0.291,-0.003,0.46,0.481,-0.0209999999999999,0.35,0.36,-0.01,4.99,5.6,-0.615
Sears, JP,676664,2023,475,332,0.223,0.24,-0.0169999999999999,0.437,0.464,-0.027,0.309,0.33,-0.021,4.09,4.59,-0.501
Freeland, Kyle,607536,2023,468,367,0.291,0.283,0.008,0.479,0.483,-0.004,0.352,0.354,-0.002,4.79,5.38,-0.586
Smyly, Drew,592767,2023,468,330,0.26,0.251,0.009,0.467,0.406,0.061,0.337,0.316,0.021,4.5,4.17,0.33
Walker, Taijuan,592836,2023,468,322,0.235,0.242,-0.007,0.393,0.392,0.001,0.31,0.315,-0.005,4.06,4.14,-0.078
Brown, Hunter,686613,2023,467,297,0.256,0.24,0.016,0.405,0.381,0.024,0.321,0.309,0.012,4.12,3.97,0.153
Gomber, Austin,596295,2023,467,363,0.292,0.291,0.001,0.517,0.511,0.006,0.366,0.364,0.002,5.83,5.75,0.083
Ashcraft, Graham,668933,2023,464,336,0.281,0.28,0.001,0.452,0.428,0.024,0.354,0.35,0.004,5.31,5.24,0.074
Peralta, Freddy,642547,2023,463,282,0.226,0.226,0.0,0.423,0.387,0.0359999999999999,0.318,0.307,0.011,4.46,3.91,0.549
Eflin, Zach,621107,2023,460,325,0.233,0.227,0.006,0.373,0.377,-0.004,0.274,0.276,-0.002,3.64,3.12,0.516
Kikuchi, Yusei,579328,2023,459,306,0.255,0.242,0.013,0.452,0.449,0.003,0.331,0.325,0.006,3.79,4.43,-0.643
Gore, MacKenzie,669022,2023,458,286,0.264,0.264,0.0,0.437,0.455,-0.018,0.337,0.347,-0.0099999999999999,4.42,5.14,-0.725
Cobb, Alex,502171,2023,454,322,0.274,0.269,0.005,0.393,0.418,-0.0249999999999999,0.315,0.323,-0.008,2.97,4.37,-1.398
Wells, Tyler,669330,2023,454,306,0.2,0.224,-0.0239999999999999,0.427,0.453,-0.026,0.296,0.318,-0.022,3.8,4.23,-0.429
Schmidt, Clarke,657376,2023,453,318,0.265,0.25,0.015,0.461,0.423,0.038,0.335,0.32,0.015,4.38,4.28,0.105
McClanahan, Shane,663556,2023,452,293,0.219,0.235,-0.0159999999999999,0.375,0.393,-0.018,0.292,0.307,-0.015,3.0,3.91,-0.91
Kopech, Michael,656629,2023,451,270,0.224,0.233,-0.009,0.461,0.463,-0.002,0.35,0.361,-0.011,4.49,5.63,-1.145
Darvish, Yu,506433,2023,450,291,0.248,0.232,0.0159999999999999,0.424,0.367,0.0569999999999999,0.32,0.299,0.021,4.53,3.7,0.828
Javier, Cristian,664299,2023,449,305,0.233,0.235,-0.0019999999999999,0.417,0.454,-0.037,0.311,0.327,-0.016,4.33,4.49,-0.157
Steele, Justin,657006,2023,448,318,0.24,0.238,0.002,0.351,0.353,-0.002,0.282,0.286,-0.004,2.87,3.36,-0.488
Anderson, Tyler,542881,2023,447,322,0.282,0.269,0.0129999999999999,0.455,0.422,0.033,0.348,0.338,0.0099999999999999,4.98,4.84,0.143
Senga, Kodai,673540,2023,446,258,0.2,0.214,-0.0139999999999999,0.325,0.334,-0.009,0.283,0.294,-0.011,3.17,3.57,-0.399
Scherzer, Max,453286,2023,444,290,0.24,0.216,0.0239999999999999,0.445,0.409,0.036,0.318,0.298,0.02,4.01,3.67,0.342
Gray, Jon,592351,2023,444,312,0.245,0.264,-0.019,0.38,0.412,-0.0319999999999999,0.305,0.326,-0.021,3.65,4.46,-0.805
Garrett, Braxton,666129,2023,441,299,0.26,0.272,-0.012,0.443,0.452,-0.009,0.32,0.331,-0.011,4.08,4.62,-0.545
Heaney, Andrew,571760,2023,438,284,0.244,0.244,0.0,0.455,0.435,0.02,0.34,0.336,0.004,4.62,4.78,-0.162
Dunning, Dane,641540,2023,438,333,0.244,0.274,-0.03,0.37,0.439,-0.069,0.297,0.339,-0.042,3.28,4.87,-1.59
Detmers, Reid,672282,2023,434,261,0.238,0.247,-0.009,0.382,0.38,0.002,0.308,0.314,-0.006,4.35,4.11,0.242
Sandoval, Patrick,663776,2023,432,305,0.253,0.258,-0.005,0.354,0.385,-0.031,0.305,0.319,-0.014,4.13,4.25,-0.117
Kelly, Merrill,518876,2023,430,277,0.214,0.249,-0.035,0.358,0.398,-0.04,0.288,0.321,-0.033,3.23,4.31,-1.084
Greinke, Zack,425844,2023,426,342,0.285,0.29,-0.005,0.478,0.493,-0.015,0.336,0.35,-0.0139999999999999,5.49,5.24,0.249
Germán, Domingo,593334,2023,426,278,0.21,0.236,-0.0259999999999999,0.423,0.418,0.005,0.302,0.317,-0.015,4.78,4.2,0.575
Bradish, Kyle,680694,2023,424,297,0.236,0.254,-0.018,0.364,0.411,-0.0469999999999999,0.289,0.315,-0.026,3.29,4.14,-0.852
